name,dob,gender,address,first_release_year,no_of_albums_released
George Ezra,1993-06-07,m,Hertford,2014,2
Jessie J,1988-03-27,f,London,2010,4
Rag'n'Bone Man,1985-01-29,m,Uckfield,2017,2
Liam Gallagher,1972-09-21,m,Manchester,2017,3
Lorde,1996-11-07,f,Auckland,2013,2
Stormzy,1993-07-26,m,Croydon,2017,2
Lewis Capaldi,1996-10-07,m,Glasgow,2017,2
Alicia Keys,1981-01-25,f,New York,2001,7
John Legend,1978-12-28,m,Springfield,2004,7
Billie Eilish,2001-12-18,f,Los Angeles,2015,1
Elton John,1947-03-25,m,Pinner,1969,33
Bruno Mars,1985-10-08,m,Honolulu,2010,3
Sia,1975-12-18,f,Adelaide,1997,9
The Weeknd,1990-02-16,m,Toronto,2010,4
Beyoncé,1981-09-04,f,Houston,1997,13
